"employees","random_salaries","salary_adjustments","adjusted_salary","raise_received"
"Employee 1",43810.2810038254,3930.87997799739,47741.1609818228,TRUE
"Employee 2",48314.8319507018,-1782.7065824531,46532.1253682487,FALSE
"Employee 3",46514.0225249343,-1574.22664458863,44939.7958803456,FALSE
"Employee 4",44304.5498640276,8986.79563892074,53291.3455029484,TRUE
"Employee 5",42506.8885600194,-2659.04307365417,39847.8454863653,FALSE
"Employee 6",42941.6396818124,8416.12257296219,51357.7622547746,TRUE
"Employee 7",48943.2212919928,1879.1506125126,50822.3719045054,TRUE
"Employee 8",42895.6027980894,9696.23883021995,52591.8416283093,TRUE
"Employee 9",41825.3219686449,7850.18479335122,49675.5067619961,TRUE
"Employee 10",45226.8395572901,-3592.27672335692,41634.5628339332,FALSE
"Employee 11",49673.6988751218,5116.92303116433,54790.6219062861,TRUE
"Employee 12",47756.9219795987,-1423.02620224655,46333.8957773522,FALSE
"Employee 13",43873.1200993061,9868.51037479937,53741.6304741055,TRUE
"Employee 14",44994.2334298976,4152.30239159428,49146.5358214919,TRUE
"Employee 15",42070.1446337625,3612.26069391705,45682.4053276796,TRUE
"Employee 16",49568.9208409749,7058.09238716029,56627.0132281352,TRUE
"Employee 17",43909.0452413075,4189.6553861443,48098.7006274518,TRUE
"Employee 18",46767.3472641036,5943.32432025112,52710.6715843547,TRUE
"Employee 19",42421.4069545269,5846.4614127297,48267.8683672566,TRUE
"Employee 20",49471.1267575622,-267.751152860001,49203.3756047022,FALSE
"Employee 21",49441.1306153052,4075.61685889959,53516.7474742047,TRUE
"Employee 22",44835.73182486,-3040.59296031483,41795.1388645452,FALSE
"Employee 23",49849.823655095,-2229.19884719886,47620.6248078961,FALSE
"Employee 24",49342.7137448452,6856.99241119437,56199.7061560396,TRUE
"Employee 25",42936.9775019586,9784.60960206576,52721.5871040244,TRUE
"Employee 26",48001.4461604878,8970.18037037924,56971.6265308671,TRUE
"Employee 27",46577.9163851403,-4642.20433263108,41935.7120525092,FALSE
"Employee 28",40588.5396292433,1045.05993309431,41633.5995623376,TRUE
"Employee 29",43532.6382284984,4046.2954773102,47578.9337058086,TRUE
"Employee 30",49178.7366988137,9894.63561098091,59073.3723097946,TRUE
"Employee 31",46679.3756838888,-1328.20681668818,45351.1688672006,FALSE
"Employee 32",46310.5495530181,-953.3422277309,45357.2073252872,FALSE
"Employee 33",41940.025635995,6299.55141572282,48239.5770517178,TRUE
"Employee 34",48034.9587625824,1830.57138579898,49865.5301483814,TRUE
"Employee 35",45648.1305207126,-3013.74757546,42634.3829452526,FALSE
"Employee 36",40870.8259719424,8778.15420972183,49648.9801816642,TRUE
"Employee 37",43281.9767831825,8816.38785242103,52098.3646356035,TRUE
"Employee 38",48496.8990529887,3856.35561076924,52353.254663758,TRUE
"Employee 39",45545.5160792917,1858.14265743829,47403.65873673,TRUE
"Employee 40",44050.6864036433,8002.28969892487,52052.9761025682,TRUE
"Employee 41",43056.0958106071,4127.86486558616,47183.9606761932,TRUE
"Employee 42",49884.4828014262,8528.95704330876,58413.439844735,TRUE
"Employee 43",46303.4867425449,-3081.32390026003,43222.1628422849,FALSE
